id,display_name,works_count,h_index,country_code,works_api_url
A5102780534,Sarah Valdez,145,10,AE,https://api.openalex.org/works?filter=author.id:A5102780534
A5057537114,Le He,296,52,CN,https://api.openalex.org/works?filter=author.id:A5057537114
A5052911565,Ruben C. Arslan,59,18,DE,https://api.openalex.org/works?filter=author.id:A5052911565
A5101935363,Zhengyu Shi,57,10,CN,https://api.openalex.org/works?filter=author.id:A5101935363
A5071615041,Dora Zhao,15,5,US,https://api.openalex.org/works?filter=author.id:A5071615041
A5061923992,Haewoon Kwak,207,38,US,https://api.openalex.org/works?filter=author.id:A5061923992
A5051193196,Aritra Dasgupta,68,17,US,https://api.openalex.org/works?filter=author.id:A5051193196
A5035190493,Chaeeun Han,2,1,US,https://api.openalex.org/works?filter=author.id:A5035190493
A5024378198,Shreya Havaldar,21,8,US,https://api.openalex.org/works?filter=author.id:A5024378198
A5100650085,Qi Yang,454,88,CN,https://api.openalex.org/works?filter=author.id:A5100650085
A5007699920,Isak Ladegaard,17,11,US,https://api.openalex.org/works?filter=author.id:A5007699920
A5022573878,Piotr Bródka,142,25,PL,https://api.openalex.org/works?filter=author.id:A5022573878
A5064995758,Stuart Duncan Smith,8,6,US,https://api.openalex.org/works?filter=author.id:A5064995758
A5070656514,James Holehouse,25,6,US,https://api.openalex.org/works?filter=author.id:A5070656514
A5051838456,Rebecca A. Dore,72,19,US,https://api.openalex.org/works?filter=author.id:A5051838456
A5101327306,Danishjeet Singh,4,1,US,https://api.openalex.org/works?filter=author.id:A5101327306
A5017357324,Jisu Huh,106,28,US,https://api.openalex.org/works?filter=author.id:A5017357324
A5035190383,Kanghyun Cho,1,1,US,https://api.openalex.org/works?filter=author.id:A5035190383
A5084116084,Detmar W. Straub,270,69,US,https://api.openalex.org/works?filter=author.id:A5084116084
A5006404907,Aoi Naito,11,3,JP,https://api.openalex.org/works?filter=author.id:A5006404907
A5049558351,Gerard Christopher Yeo,7,2,SG,https://api.openalex.org/works?filter=author.id:A5049558351
A5030047353,Shagun Jhaver,42,16,NL,https://api.openalex.org/works?filter=author.id:A5030047353
A5052300568,Tongjing Wang,6,6,NL,https://api.openalex.org/works?filter=author.id:A5052300568
A5065212478,Huilian Sophie Qiu,21,6,US,https://api.openalex.org/works?filter=author.id:A5065212478
A5113858426,Hyo‐Min Jang,18,12,KR,https://api.openalex.org/works?filter=author.id:A5113858426
A5031514121,Almog Simchon,43,9,GB,https://api.openalex.org/works?filter=author.id:A5031514121
A5013341018,Larrisa I. Miller,1,1,US,https://api.openalex.org/works?filter=author.id:A5013341018
A5110117708,Qing Ke,93,22,CN,https://api.openalex.org/works?filter=author.id:A5110117708
A5049240073,Vicky Chuqiao Yang,41,7,US,https://api.openalex.org/works?filter=author.id:A5049240073
A5091815434,Florian Saurwein,83,15,CH,https://api.openalex.org/works?filter=author.id:A5091815434
A5038833789,Julia Mendelsohn,22,9,US,https://api.openalex.org/works?filter=author.id:A5038833789
A5007612664,Roman Kyrychenko,4,2,FI,https://api.openalex.org/works?filter=author.id:A5007612664
A5055438472,Justin Chun‐ting Ho,27,7,TW,https://api.openalex.org/works?filter=author.id:A5055438472
A5057880103,Marios Papachristou,36,4,US,https://api.openalex.org/works?filter=author.id:A5057880103
A5091142592,Michael Guerzhoy,41,5,CA,https://api.openalex.org/works?filter=author.id:A5091142592
A5072971093,Sharaj Kunjar,2,1,DE,https://api.openalex.org/works?filter=author.id:A5072971093
A5085287152,Bryan Li,91,18,US,https://api.openalex.org/works?filter=author.id:A5085287152
A5055160277,Timothy G. Dorr,10,2,NL,https://api.openalex.org/works?filter=author.id:A5055160277
A5055973075,Steven R. Wilson,241,35,US,https://api.openalex.org/works?filter=author.id:A5055973075
A5036902882,Xiuqi Sukie Yang,2,0,US,https://api.openalex.org/works?filter=author.id:A5036902882
A5085949327,Meera Desai,15,5,GB,https://api.openalex.org/works?filter=author.id:A5085949327
A5059312459,Frances Knight,109,5,GB,https://api.openalex.org/works?filter=author.id:A5059312459
A5077079119,Thomas L. Griffiths,765,96,US,https://api.openalex.org/works?filter=author.id:A5077079119
A5033317835,Mahmoudreza Babaei,27,13,DE,https://api.openalex.org/works?filter=author.id:A5033317835
A5044995158,William Brannon,40,11,US,https://api.openalex.org/works?filter=author.id:A5044995158
A5109273952,Müge Finkel,5,2,US,https://api.openalex.org/works?filter=author.id:A5109273952
A5091998606,Rojin Ziaei,7,2,US,https://api.openalex.org/works?filter=author.id:A5091998606
A5014394213,Xuechunzi Bai,33,10,US,https://api.openalex.org/works?filter=author.id:A5014394213
A5004281470,Deb Roy,289,41,US,https://api.openalex.org/works?filter=author.id:A5004281470
A5077466034,Vikram Balasubramanian,3,2,US,https://api.openalex.org/works?filter=author.id:A5077466034
A5056015605,Anna M. Lieb,2,2,US,https://api.openalex.org/works?filter=author.id:A5056015605
A5098732389,Steven Lauterwasser,1,0,US,https://api.openalex.org/works?filter=author.id:A5098732389
A5067990394,Bernie Hogan,84,28,GB,https://api.openalex.org/works?filter=author.id:A5067990394
A5060541841,Tali Kristal,33,16,IL,https://api.openalex.org/works?filter=author.id:A5060541841
A5100350852,Mengyi Zhang,18,5,CN,https://api.openalex.org/works?filter=author.id:A5100350852
A5036794290,Márton Rakovics,21,5,HU,https://api.openalex.org/works?filter=author.id:A5036794290
A5079161259,Aleksi Aaltonen,44,9,US,https://api.openalex.org/works?filter=author.id:A5079161259
A5067288003,MEHMET FUAT KINA,9,1,TR,https://api.openalex.org/works?filter=author.id:A5067288003
A5049723093,Salsabil M. Abdalbaki,3,1,EG,https://api.openalex.org/works?filter=author.id:A5049723093
A5020144785,Jing Han,182,40,US,https://api.openalex.org/works?filter=author.id:A5020144785
A5063766667,Chris Chao Su,25,7,US,https://api.openalex.org/works?filter=author.id:A5063766667
A5110448998,Zhijian Zheng,14,8,CN,https://api.openalex.org/works?filter=author.id:A5110448998
A5072564674,Chhandak Bagchi,8,2,US,https://api.openalex.org/works?filter=author.id:A5072564674
A5087088138,Dan Jurafsky,358,86,US,https://api.openalex.org/works?filter=author.id:A5087088138
A5056423601,Rhianne W. Hoek,8,3,NL,https://api.openalex.org/works?filter=author.id:A5056423601
A5084047654,Riley Tucker,109,15,US,https://api.openalex.org/works?filter=author.id:A5084047654
A5063417857,Ke Fang,358,42,US,https://api.openalex.org/works?filter=author.id:A5063417857
A5060778029,Maciej Styczen,2,1,CH,https://api.openalex.org/works?filter=author.id:A5060778029
A5083583657,Guillaume Latzko-Toth,53,10,CA,https://api.openalex.org/works?filter=author.id:A5083583657
A5019373396,Linnea Gandhi,11,8,US,https://api.openalex.org/works?filter=author.id:A5019373396
A5076145498,Miftahul Jannat Mokarrama,6,4,BD,https://api.openalex.org/works?filter=author.id:A5076145498
A5008452854,Rebekah Tromble,51,16,US,https://api.openalex.org/works?filter=author.id:A5008452854
A5087293181,Natalie Schroyens,35,9,BE,https://api.openalex.org/works?filter=author.id:A5087293181
A5088363723,Neha Kumar,173,32,US,https://api.openalex.org/works?filter=author.id:A5088363723
A5108018053,Andrés Gvirtz,18,4,GB,https://api.openalex.org/works?filter=author.id:A5108018053
A5035201433,Ting Luo,228,30,CN,https://api.openalex.org/works?filter=author.id:A5035201433
A5037636074,Kristian Kersting,568,52,DE,https://api.openalex.org/works?filter=author.id:A5037636074
A5082665196,Lillio Mok,10,4,CA,https://api.openalex.org/works?filter=author.id:A5082665196
A5061935602,Steve Rathje,66,23,US,https://api.openalex.org/works?filter=author.id:A5061935602
A5101128468,Yongwei Yang,22,9,CN,https://api.openalex.org/works?filter=author.id:A5101128468
A5059787882,Michele Tizzoni,115,30,IT,https://api.openalex.org/works?filter=author.id:A5059787882
A5057107455,María C. Ramos,55,13,ES,https://api.openalex.org/works?filter=author.id:A5057107455
A5029529751,Isabelle Langrock,7,2,US,https://api.openalex.org/works?filter=author.id:A5029529751
A5026546328,Isabella Loaiza Saa,5,2,US,https://api.openalex.org/works?filter=author.id:A5026546328
A5102688812,Huayin Luo,4,1,CA,https://api.openalex.org/works?filter=author.id:A5102688812
A5085714892,John Bryden,164,18,NO,https://api.openalex.org/works?filter=author.id:A5085714892
A5102791025,Devansh Jain,14,5,US,https://api.openalex.org/works?filter=author.id:A5102791025
A5033157677,Hejie Cui,51,13,US,https://api.openalex.org/works?filter=author.id:A5033157677
A5033847936,Sijia Qian,19,8,CN,https://api.openalex.org/works?filter=author.id:A5033847936
A5092145709,Brooke Perreault,4,1,US,https://api.openalex.org/works?filter=author.id:A5092145709
A5085927300,Kathleen M. Carley,883,82,US,https://api.openalex.org/works?filter=author.id:A5085927300
A5077712228,Simon A. Levin,993,141,US,https://api.openalex.org/works?filter=author.id:A5077712228
A5100374296,Jaehong Kim,75,22,KR,https://api.openalex.org/works?filter=author.id:A5100374296
A5076364930,Farnaz Jahanbakhsh,15,8,US,https://api.openalex.org/works?filter=author.id:A5076364930
A5018392096,Matteo Magnani,193,29,SE,https://api.openalex.org/works?filter=author.id:A5018392096
A5049389261,Bence Ságvári,55,10,HU,https://api.openalex.org/works?filter=author.id:A5049389261
A5020380520,Zhaoyin Chu,2,1,CN,https://api.openalex.org/works?filter=author.id:A5020380520
A5027814433,Mohammed Alsobay,13,3,US,https://api.openalex.org/works?filter=author.id:A5027814433
A5057976295,Tzu‐Kun Hsiao,14,6,US,https://api.openalex.org/works?filter=author.id:A5057976295
A5093405128,Leah von der Heyde,4,2,DE,https://api.openalex.org/works?filter=author.id:A5093405128
A5068819495,Luca Pappalardo,173,32,IT,https://api.openalex.org/works?filter=author.id:A5068819495
A5037300629,Nouar AlDahoul,90,14,AE,https://api.openalex.org/works?filter=author.id:A5037300629
A5100377930,Yiming Wang,240,40,CN,https://api.openalex.org/works?filter=author.id:A5100377930
A5100640251,Qiwei Li,218,27,US,https://api.openalex.org/works?filter=author.id:A5100640251
A5023968831,Anna B. Stephenson,36,8,US,https://api.openalex.org/works?filter=author.id:A5023968831
A5002984043,Daniel Romero,99,12,CU,https://api.openalex.org/works?filter=author.id:A5002984043
A5067953991,Aliakbar Akbaritabar,50,11,DE,https://api.openalex.org/works?filter=author.id:A5067953991
A5102971731,Suhyoung Choi,99,14,KR,https://api.openalex.org/works?filter=author.id:A5102971731
A5001523273,Lynnette Hui Xian Ng,94,11,US,https://api.openalex.org/works?filter=author.id:A5001523273
A5037093270,Qiankun Zhong,20,6,US,https://api.openalex.org/works?filter=author.id:A5037093270
A5087787038,Chris Wells,156,22,US,https://api.openalex.org/works?filter=author.id:A5087787038
A5033463329,Yifan Qian,8,5,CN,https://api.openalex.org/works?filter=author.id:A5033463329
A5043371507,Yueran Duan,10,2,CN,https://api.openalex.org/works?filter=author.id:A5043371507
A5072281431,Lisa Oswald,16,7,DE,https://api.openalex.org/works?filter=author.id:A5072281431
A5058939619,Alvin Zhou,59,14,US,https://api.openalex.org/works?filter=author.id:A5058939619
A5101829663,Xinwei Zheng,47,13,AU,https://api.openalex.org/works?filter=author.id:A5101829663
A5087471530,Allison Koenecke,40,8,US,https://api.openalex.org/works?filter=author.id:A5087471530
A5028851796,Spencer Caplan,18,4,US,https://api.openalex.org/works?filter=author.id:A5028851796
A5047198701,Alexander J. Gates,45,13,US,https://api.openalex.org/works?filter=author.id:A5047198701
A5109446924,Jianjian Gao,25,6,CN,https://api.openalex.org/works?filter=author.id:A5109446924
A5077228817,Peter N. Dodds,268,69,AU,https://api.openalex.org/works?filter=author.id:A5077228817
A5034327826,Patrick Park,41,8,CA,https://api.openalex.org/works?filter=author.id:A5034327826
A5068201653,Sara Bonati,42,7,IT,https://api.openalex.org/works?filter=author.id:A5068201653
A5060256587,Claudia Acciai,14,4,DK,https://api.openalex.org/works?filter=author.id:A5060256587
A5077179813,Libby Hemphill,143,19,US,https://api.openalex.org/works?filter=author.id:A5077179813
A5070767948,Dallas Card,60,23,US,https://api.openalex.org/works?filter=author.id:A5070767948
A5093587867,Duncan Cassells,2,1,FR,https://api.openalex.org/works?filter=author.id:A5093587867
A5054808675,Joel Z. Leibo,184,40,GB,https://api.openalex.org/works?filter=author.id:A5054808675
A5060054839,Youngik Lee,1,1,KR,https://api.openalex.org/works?filter=author.id:A5060054839
A5013453635,Yuze Sui,3,1,US,https://api.openalex.org/works?filter=author.id:A5013453635
A5082130337,A. Marthe Möller,13,6,NL,https://api.openalex.org/works?filter=author.id:A5082130337
A5062365263,Fengli Xu,105,23,CN,https://api.openalex.org/works?filter=author.id:A5062365263
A5036233384,Sumeet Gulati,59,16,CA,https://api.openalex.org/works?filter=author.id:A5036233384
A5034362571,Chenyan Jia,38,9,US,https://api.openalex.org/works?filter=author.id:A5034362571
A5010287399,Inho Hong,37,6,DE,https://api.openalex.org/works?filter=author.id:A5010287399
A5078357516,Dmitry Zinoviev,88,14,US,https://api.openalex.org/works?filter=author.id:A5078357516
A5031056767,Amy Hagopian,127,30,US,https://api.openalex.org/works?filter=author.id:A5031056767
A5043059930,Ho-Chun Herbert Chang,57,11,US,https://api.openalex.org/works?filter=author.id:A5043059930
A5084458456,Kilian Buehling,16,5,DE,https://api.openalex.org/works?filter=author.id:A5084458456
A5022479813,Anjalie Field,139,31,US,https://api.openalex.org/works?filter=author.id:A5022479813
A5033136366,Xiaoqin Yan,100,40,CN,https://api.openalex.org/works?filter=author.id:A5033136366
A5022229311,James Alex Bonus,38,12,US,https://api.openalex.org/works?filter=author.id:A5022229311
A5097713744,Sidney Xiang,1,0,US,https://api.openalex.org/works?filter=author.id:A5097713744
A5082556407,Taizo Horikomi,6,2,JP,https://api.openalex.org/works?filter=author.id:A5082556407
A5042989803,Zhehan Zhang,43,12,CN,https://api.openalex.org/works?filter=author.id:A5042989803
A5012681383,Mila Oiva,41,5,EE,https://api.openalex.org/works?filter=author.id:A5012681383
A5093751418,Seonbin Jo,2,1,KR,https://api.openalex.org/works?filter=author.id:A5093751418
A5102845677,Kenji Yokotani,30,6,JP,https://api.openalex.org/works?filter=author.id:A5102845677
A5039540205,Tobias Gerstenberg,151,28,US,https://api.openalex.org/works?filter=author.id:A5039540205
A5008307390,Moh Hosseinioun,2,1,CA,https://api.openalex.org/works?filter=author.id:A5008307390
A5048176602,Vedran Sekara,40,11,US,https://api.openalex.org/works?filter=author.id:A5048176602
A5015770363,Kevin Munger,212,19,US,https://api.openalex.org/works?filter=author.id:A5015770363
A5020837142,Jordyn Young,14,5,GB,https://api.openalex.org/works?filter=author.id:A5020837142
A5090271895,Ayush Kanodia,24,7,IN,https://api.openalex.org/works?filter=author.id:A5090271895
A5046908604,Taha Yasseri,179,28,IE,https://api.openalex.org/works?filter=author.id:A5046908604
A5009943357,Keith Burghardt,142,11,US,https://api.openalex.org/works?filter=author.id:A5009943357
A5061444760,Fereshteh Amini,31,11,US,https://api.openalex.org/works?filter=author.id:A5061444760
A5090460555,Young Min Cho,410,53,KR,https://api.openalex.org/works?filter=author.id:A5090460555
A5030654899,Hannah Kinzer,16,5,US,https://api.openalex.org/works?filter=author.id:A5030654899
A5032538899,Jonathan Nagler,355,44,US,https://api.openalex.org/works?filter=author.id:A5032538899
A5009478901,Yini Zhang,51,13,CN,https://api.openalex.org/works?filter=author.id:A5009478901
A5015755413,Minje Choi,20,8,KR,https://api.openalex.org/works?filter=author.id:A5015755413
A5041845200,Aditya Gulati,24,4,,https://api.openalex.org/works?filter=author.id:A5041845200
A5100766043,David García,333,58,US,https://api.openalex.org/works?filter=author.id:A5100766043
A5092002730,Katie Spoon,9,2,US,https://api.openalex.org/works?filter=author.id:A5092002730
A5100756799,Yang Zhou,111,40,CN,https://api.openalex.org/works?filter=author.id:A5100756799
A5078030567,Mingshan Jia,13,4,AU,https://api.openalex.org/works?filter=author.id:A5078030567
A5049395978,Maneesh Arora,22,8,US,https://api.openalex.org/works?filter=author.id:A5049395978
A5049106181,Preetha Chatterjee,36,8,US,https://api.openalex.org/works?filter=author.id:A5049106181
A5005537718,Yunkang Yang,8,5,US,https://api.openalex.org/works?filter=author.id:A5005537718
A5101690189,Md Sanzeed Anwar,8,2,US,https://api.openalex.org/works?filter=author.id:A5101690189
A5028670112,Nanxi Liu,5,3,CN,https://api.openalex.org/works?filter=author.id:A5028670112
A5010666189,Bong Gwan Jun,20,3,KR,https://api.openalex.org/works?filter=author.id:A5010666189
A5025069859,Alessia Antelmi,33,8,IT,https://api.openalex.org/works?filter=author.id:A5025069859
A5061868864,Marco Tonin,2,0,DE,https://api.openalex.org/works?filter=author.id:A5061868864
A5053640148,Sarah Shugars,30,8,US,https://api.openalex.org/works?filter=author.id:A5053640148
A5023898973,Shiyang Lai,12,3,US,https://api.openalex.org/works?filter=author.id:A5023898973
A5048088355,Alireza Javadian Sabet,25,6,US,https://api.openalex.org/works?filter=author.id:A5048088355
A5078228552,Daria Kravets,9,3,DE,https://api.openalex.org/works?filter=author.id:A5078228552
A5010629861,Nandini Banerjee,20,4,IN,https://api.openalex.org/works?filter=author.id:A5010629861
A5013670125,David Lazer,449,60,US,https://api.openalex.org/works?filter=author.id:A5013670125
A5009488624,Chris Riedl,1,1,MX,https://api.openalex.org/works?filter=author.id:A5009488624
A5047810054,Renzhe Yu,40,11,US,https://api.openalex.org/works?filter=author.id:A5047810054
A5058954591,João Sedoc,140,20,US,https://api.openalex.org/works?filter=author.id:A5058954591
A5011499718,Zubair Shafiq,134,21,US,https://api.openalex.org/works?filter=author.id:A5011499718
A5020418858,Anders Giovanni Møller,6,2,DK,https://api.openalex.org/works?filter=author.id:A5020418858
A5026024797,Jonathan St-Onge,15,3,CA,https://api.openalex.org/works?filter=author.id:A5026024797
A5017437256,Frank Mangold,31,7,DE,https://api.openalex.org/works?filter=author.id:A5017437256
A5067625837,Ralph Schroeder,285,45,GB,https://api.openalex.org/works?filter=author.id:A5067625837
A5091210858,Bence Kollányi,32,12,HU,https://api.openalex.org/works?filter=author.id:A5091210858
A5110770632,Roberto Rigobón,263,56,US,https://api.openalex.org/works?filter=author.id:A5110770632
A5001211242,Susan Athey,473,69,US,https://api.openalex.org/works?filter=author.id:A5001211242
A5049483871,Haohan Chen,68,13,CN,https://api.openalex.org/works?filter=author.id:A5049483871
A5018574266,Adrian Zhou,9,3,US,https://api.openalex.org/works?filter=author.id:A5018574266
A5031278789,Kaitlyn Zhou,21,8,US,https://api.openalex.org/works?filter=author.id:A5031278789
A5082332656,Abdul Basit Adeel,9,4,US,https://api.openalex.org/works?filter=author.id:A5082332656
A5072650488,Kei Ichikawa,2,2,JP,https://api.openalex.org/works?filter=author.id:A5072650488
A5009715573,Yibing Sun,17,9,CN,https://api.openalex.org/works?filter=author.id:A5009715573
A5038043083,Sanja Šćepanović,87,11,GB,https://api.openalex.org/works?filter=author.id:A5038043083
A5100652499,Huimin Xu,322,41,CN,https://api.openalex.org/works?filter=author.id:A5100652499
A5036935284,Sumer S. Vaid,28,9,US,https://api.openalex.org/works?filter=author.id:A5036935284
A5093329780,Tim Faverjon,3,0,FR,https://api.openalex.org/works?filter=author.id:A5093329780
A5073592405,Abraham Bernstein,386,53,CH,https://api.openalex.org/works?filter=author.id:A5073592405
A5004570172,Andrew P. Davis,31,9,US,https://api.openalex.org/works?filter=author.id:A5004570172
A5000474356,Nan Cao,201,39,CN,https://api.openalex.org/works?filter=author.id:A5000474356
A5040399099,Julia Kim‐Cohen,30,26,US,https://api.openalex.org/works?filter=author.id:A5040399099
A5044261825,Matthew Haruyama,3,0,JP,https://api.openalex.org/works?filter=author.id:A5044261825
A5035455593,Laurent Hébert‐Dufresne,203,31,US,https://api.openalex.org/works?filter=author.id:A5035455593
A5091314544,Dorottya Kisfalusi,35,9,HU,https://api.openalex.org/works?filter=author.id:A5091314544
A5113454096,John D. O'Brien,1,1,US,https://api.openalex.org/works?filter=author.id:A5113454096
A5079154791,Kokil Jaidka,162,24,SG,https://api.openalex.org/works?filter=author.id:A5079154791
A5008880747,Rodrigo Dorantes-Gilardi,16,6,MX,https://api.openalex.org/works?filter=author.id:A5008880747
A5091368933,Yu-Xuan Qiu,7,3,CN,https://api.openalex.org/works?filter=author.id:A5091368933
A5036868218,Bedoor AlShebli,36,13,US,https://api.openalex.org/works?filter=author.id:A5036868218
A5106987178,Rikuei Kaku,1,0,JP,https://api.openalex.org/works?filter=author.id:A5106987178
A5100398535,Yifan Wang,378,40,US,https://api.openalex.org/works?filter=author.id:A5100398535
A5043260637,Fang-Yi Yu,38,5,US,https://api.openalex.org/works?filter=author.id:A5043260637
A5042088277,Yutong Si,14,5,US,https://api.openalex.org/works?filter=author.id:A5042088277
A5080592381,Erdem Yörük,94,18,TR,https://api.openalex.org/works?filter=author.id:A5080592381
A5100728603,Zhen Guo,64,34,US,https://api.openalex.org/works?filter=author.id:A5100728603
